10.1621/bzZQTlQOpH.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1473811,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ephx1,99.84,0.465116279,1.372658117,1.88242E-56,10.1621/bzZQTlQOpH.1,
1538818,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ppcs,99.83,0.5,1.436512019,5.53121E-56,10.1621/bzZQTlQOpH.1,
1512733,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Gstt2,99.83,0.461988304,1.472954061,1.75247E-55,10.1621/bzZQTlQOpH.1,
1538825,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hprt,99.83,0.461538462,1.315019602,9.22515E-55,10.1621/bzZQTlQOpH.1,
1477442,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mgll,99.82,0.456140351,1.46738979,2.83276E-54,10.1621/bzZQTlQOpH.1,
1516018,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hsd17b11,99.82,0.456140351,1.628120277,2.83276E-54,10.1621/bzZQTlQOpH.1,
1515212,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Idh1,99.82,0.456140351,1.227682837,2.83276E-54,10.1621/bzZQTlQOpH.1,
1541834,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Etfdh,99.81,0.450292398,1.368022119,4.4731E-53,10.1621/bzZQTlQOpH.1,
1543305,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cmbl,99.81,0.450292398,1.504097765,4.4731E-53,10.1621/bzZQTlQOpH.1,
1539690,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Gpat3,99.8,0.523076923,1.722501933,1.2251E-52,10.1621/bzZQTlQOpH.1,
1478892,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acsl5,99.8,0.460122699,1.300920694,1.34512E-52,10.1621/bzZQTlQOpH.1,
1481551,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Plin5,99.79,0.470967742,1.711650729,3.77671E-52,10.1621/bzZQTlQOpH.1,
1477355,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Casp8,99.79,0.447058824,1.337405482,4.03193E-52,10.1621/bzZQTlQOpH.1,
1476651,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Alpl,99.78,0.444444444,1.486391146,6.89963E-52,10.1621/bzZQTlQOpH.1,
1541035,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hsd11b1,99.78,0.444444444,1.495232967,6.89963E-52,10.1621/bzZQTlQOpH.1,
1535910,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Rab9,99.78,0.444444444,1.307020264,6.89963E-52,10.1621/bzZQTlQOpH.1,
1518222,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hsd17b4,99.78,0.444444444,1.293044902,6.89963E-52,10.1621/bzZQTlQOpH.1,
1514282,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Angptl4,99.77,0.441860465,1.52214212,1.17523E-51,10.1621/bzZQTlQOpH.1,
1479529,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Clstn3,99.76,0.496402878,1.748340682,2.31364E-51,10.1621/bzZQTlQOpH.1,
1519035,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acot8,99.76,0.438596491,1.434095838,1.03953E-50,10.1621/bzZQTlQOpH.1,
1522135,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cpt2,99.76,0.438596491,1.335955325,1.03953E-50,10.1621/bzZQTlQOpH.1,
1516698,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Abhd1,99.75,0.461538462,1.50643185,1.11612E-50,10.1621/bzZQTlQOpH.1,
1521485,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Dhrs4,99.75,0.436046512,1.353917716,1.75243E-50,10.1621/bzZQTlQOpH.1,
1513445,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hmgb3,99.74,0.437869822,1.327718943,5.42147E-50,10.1621/bzZQTlQOpH.1,
1544193,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Dexi,99.74,0.458064516,1.356028771,1.03119E-49,10.1621/bzZQTlQOpH.1,
1479607,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Etfb,99.73,0.432748538,1.23081171,1.52974E-49,10.1621/bzZQTlQOpH.1,
1480104,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hmgcs2,99.73,0.432748538,1.409838193,1.52974E-49,10.1621/bzZQTlQOpH.1,
1535983,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hadha,99.73,0.460526316,1.352400216,3.09533E-49,10.1621/bzZQTlQOpH.1,
1543316,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Lgals4,99.72,0.45751634,1.544373195,5.42482E-49,10.1621/bzZQTlQOpH.1,
1536619,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Chkb,99.72,0.454545455,1.348115072,9.45568E-49,10.1621/bzZQTlQOpH.1,
1521427,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Vnn1,99.71,0.429411765,2.532182079,1.32529E-48,10.1621/bzZQTlQOpH.1,
1541801,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,St3gal5,99.71,0.436363636,1.516466414,1.47331E-48,10.1621/bzZQTlQOpH.1,
1482651,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Tmem120a,99.7,0.496183206,1.418413293,1.82814E-48,10.1621/bzZQTlQOpH.1,
1546244,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Slc29a1,99.7,0.426900585,1.372509661,2.19855E-48,10.1621/bzZQTlQOpH.1,
1544875,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hacd1,99.7,0.448717949,1.274381025,2.82725E-48,10.1621/bzZQTlQOpH.1,
1481677,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Tdrp,99.69,0.438271605,1.441441479,4.55739E-48,10.1621/bzZQTlQOpH.1,
