10.1621/YjauVBA6hX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1825644,Androgen receptor,ALL,ALL,House Mouse,Fam129b,99.79,0.366666667,1.194987417,1.09694E-07,10.1621/YjauVBA6hX.1,
1825566,Androgen receptor,ALL,ALL,House Mouse,Tmem41a,99.79,0.366666667,1.146991028,1.09694E-07,10.1621/YjauVBA6hX.1,
1824723,Androgen receptor,ALL,ALL,House Mouse,Prr3,99.79,0.366666667,1.152637792,1.09694E-07,10.1621/YjauVBA6hX.1,
1823844,Androgen receptor,ALL,ALL,House Mouse,Sbk1,99.79,0.366666667,1.327182494,1.09694E-07,10.1621/YjauVBA6hX.1,
1822988,Androgen receptor,ALL,ALL,House Mouse,Cth,99.79,0.366666667,1.209591639,1.09694E-07,10.1621/YjauVBA6hX.1,
1817593,Androgen receptor,ALL,ALL,House Mouse,Nudt2,99.79,0.366666667,1.197854812,1.09694E-07,10.1621/YjauVBA6hX.1,
1819228,Androgen receptor,ALL,ALL,House Mouse,C76213,99.76,0.473684211,1.278069891,1.13967E-07,10.1621/YjauVBA6hX.1,
1801911,Androgen receptor,ALL,ALL,House Mouse,Tdrp,99.7,0.35483871,1.221128728,1.62285E-07,10.1621/YjauVBA6hX.1,
1825989,Androgen receptor,ALL,ALL,House Mouse,Kdelr3,99.7,0.35483871,1.322151035,1.62285E-07,10.1621/YjauVBA6hX.1,
1825136,Androgen receptor,ALL,ALL,House Mouse,Lrrc58,99.7,0.35483871,1.185441427,1.62285E-07,10.1621/YjauVBA6hX.1,
1825116,Androgen receptor,ALL,ALL,House Mouse,Sox18,99.7,0.35483871,1.270027398,1.62285E-07,10.1621/YjauVBA6hX.1,
1823508,Androgen receptor,ALL,ALL,House Mouse,Cirbp,99.7,0.35483871,1.209412893,1.62285E-07,10.1621/YjauVBA6hX.1,
1823399,Androgen receptor,ALL,ALL,House Mouse,Lyve1,99.7,0.35483871,1.216363236,1.62285E-07,10.1621/YjauVBA6hX.1,
1822031,Androgen receptor,ALL,ALL,House Mouse,Fam213b,99.7,0.35483871,1.305334639,1.62285E-07,10.1621/YjauVBA6hX.1,
1821570,Androgen receptor,ALL,ALL,House Mouse,Edem3,99.7,0.35483871,1.174013802,1.62285E-07,10.1621/YjauVBA6hX.1,
