10.1621/PJF8NEyazd.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1608371,Estrogen receptors,ALL,ALL,House Mouse,Elf3,99.99,0.607843137,2.171395404,1.33822E-27,10.1621/PJF8NEyazd.1,
1596738,Estrogen receptors,ALL,ALL,House Mouse,F3,99.99,0.53125,1.611082567,2.11968E-27,10.1621/PJF8NEyazd.1,
1586474,Estrogen receptors,ALL,ALL,House Mouse,Rasd1,99.98,0.596153846,1.888089193,3.15335E-27,10.1621/PJF8NEyazd.1,
1598155,Estrogen receptors,ALL,ALL,House Mouse,Ccl2,99.98,0.596153846,2.756415879,3.15335E-27,10.1621/PJF8NEyazd.1,
1601694,Estrogen receptors,ALL,ALL,House Mouse,Hoxb6,99.97,0.644444444,1.552655069,5.45372E-27,10.1621/PJF8NEyazd.1,
1588906,Estrogen receptors,ALL,ALL,House Mouse,Bhlhe40,99.97,0.58490566,1.844414355,7.22913E-27,10.1621/PJF8NEyazd.1,
1598184,Estrogen receptors,ALL,ALL,House Mouse,Ier3,99.96,0.617021277,2.177506878,3.49011E-26,10.1621/PJF8NEyazd.1,
1599166,Estrogen receptors,ALL,ALL,House Mouse,Klk1,99.96,0.58,4.108561463,4.43375E-25,10.1621/PJF8NEyazd.1,
1600166,Estrogen receptors,ALL,ALL,House Mouse,Pros1,99.95,0.568627451,1.446184281,9.78206E-25,10.1621/PJF8NEyazd.1,
1599268,Estrogen receptors,ALL,ALL,House Mouse,Myh14,99.95,0.571428571,1.593871975,5.14989E-24,10.1621/PJF8NEyazd.1,
1611676,Estrogen receptors,ALL,ALL,House Mouse,Alpl,99.94,0.492063492,2.757811113,8.72307E-24,10.1621/PJF8NEyazd.1,
1588811,Estrogen receptors,ALL,ALL,House Mouse,Twist2,99.94,0.537037037,1.49741835,9.09427E-24,10.1621/PJF8NEyazd.1,
1608324,Estrogen receptors,ALL,ALL,House Mouse,Car2,99.94,0.537037037,1.941908599,9.09427E-24,10.1621/PJF8NEyazd.1,
1611695,Estrogen receptors,ALL,ALL,House Mouse,Padi2,99.93,0.549019608,2.710076633,2.35109E-23,10.1621/PJF8NEyazd.1,
1590469,Estrogen receptors,ALL,ALL,House Mouse,G6pdx,99.93,0.574468085,1.672866985,2.709E-23,10.1621/PJF8NEyazd.1,
1606681,Estrogen receptors,ALL,ALL,House Mouse,Gadd45a,99.92,0.476923077,1.759640671,2.929E-23,10.1621/PJF8NEyazd.1,
1591933,Estrogen receptors,ALL,ALL,House Mouse,Klf4,99.91,0.528301887,1.52132134,9.78327E-23,10.1621/PJF8NEyazd.1,
1603337,Estrogen receptors,ALL,ALL,House Mouse,Kcnj8,99.91,0.528301887,1.976634144,9.78327E-23,10.1621/PJF8NEyazd.1,
1596739,Estrogen receptors,ALL,ALL,House Mouse,Fmo1,99.91,0.528301887,1.645424885,9.78327E-23,10.1621/PJF8NEyazd.1,
1610847,Estrogen receptors,ALL,ALL,House Mouse,Id3,99.9,0.46875,1.687795264,2.79912E-22,10.1621/PJF8NEyazd.1,
